variable,value,WL,Glob_dif,Dir_dif,Difu_dif
O3,200.0,320,6.482556880593078,9.284282304201136,4.843826453384533
O3,200.0,330,-2.0906166674359135,0.8915773266467174,-4.010559284027583
O3,200.0,340,-2.2738687592502527,0.4885722551714159,-4.272949102720994
O3,200.0,350,-2.7095244111011763,0.02269643342222006,-4.8994466294846575
O3,200.0,360,-2.6612284467184173,0.0,-5.011050410405219
O3,300.0,320,-3.334488202616574,0.0,-5.284769926823141
O3,300.0,330,-3.0585553666124676,0.0,-5.027709814570361
O3,300.0,340,-2.798866982837734,0.0,-4.824307504524859
O3,300.0,350,-2.7340560095429653,0.0,-4.9254231763737515
O3,300.0,360,-2.6612284467184173,0.0,-5.011050410405219
O3,400.0,320,-12.170583379593728,-8.495530376106288,-14.32005528432795
O3,400.0,330,-4.014623532133851,-0.8836824904857605,-6.030355834086245
O3,400.0,340,-3.320312381382713,-0.4862216114566694,-5.37124310540293
O3,400.0,350,-2.7585732030532015,-0.02266405619908663,-4.9513997232628455
O3,400.0,360,-2.6612284467184173,0.0,-5.011050410405219
O3,500.0,320,-20.146957116291407,-16.269386521339065,-22.414851891351113
O3,500.0,330,-4.959077579593669,-1.7595471676023702,-7.018968429258153
O3,500.0,340,-3.8382353209112026,-0.970056415449144,-5.91386058703391
O3,500.0,350,-2.783075991631884,-0.04536048962132509,-4.977376270151939
O3,500.0,360,-2.6612284467184173,0.0,-5.011050410405219
albedo,0.0,320,-5.166169941639737,0.0,-8.187769122413288
albedo,0.0,330,-4.870191868247041,0.0,-8.005671883662405
albedo,0.0,340,-4.516931185119193,0.0,-7.785699854597149
albedo,0.0,350,-4.357261317126434,0.0,-7.8496401690318045
albedo,0.0,360,-4.173587709428116,0.0,-7.8587600845126735
albedo,0.1,320,-1.4306599421778057,0.0,-2.267427016835412
albedo,0.1,330,-1.1766006592595752,0.0,-1.9341083618381976
albedo,0.1,340,-1.0178236426234586,0.0,-1.7543864240424425
albedo,0.1,350,-1.0548011132707291,0.0,-1.900232413540396
albedo,0.1,360,-1.1003707948387693,0.0,-2.071970372422655
albedo,0.2,320,2.6112185052054326,0.0,4.138472890036081
albedo,0.2,330,2.8153979675594907,0.0,4.627980367090583
albedo,0.2,340,2.7474876668385293,0.0,4.735746804330052
albedo,0.2,350,2.4838711582587725,0.0,4.4747132199603685
albedo,0.2,360,2.1765184835213742,0.0,4.098304686759295
albedo,0.30000000000000004,320,6.998737517897199,0.0,11.092172265383503
albedo,0.30000000000000004,330,7.143497104464605,0.0,11.742529804910621
albedo,0.30000000000000004,340,6.810613776337217,0.0,11.739212814712388
albedo,0.30000000000000004,350,6.285058902485385,0.0,11.322556569704854
albedo,0.30000000000000004,360,5.677976957134374,0.0,10.691462421972899
albedo,0.4,320,11.778223102372607,0.0,18.66709235737844
albedo,0.4,330,11.851981232791873,0.0,19.482409623259596
albedo,0.4,340,11.20832794336372,0.0,19.31939636356785
albedo,0.4,350,10.379070095405314,0.0,18.69794959148571
albedo,0.4,360,9.427927715224973,0.0,17.752549405085595
albedo,0.5,320,17.004662784731043,0.0,26.950381899686402
albedo,0.5,330,16.993340132871545,0.0,27.933828685112786
albedo,0.5,340,15.983704375805077,0.0,27.550542931526678
albedo,0.5,350,14.801110389744156,0.0,26.664315542642537
albedo,0.5,360,13.45381578490822,0.0,25.333170242146196
albedo,0.6000000000000001,320,22.743805373029335,0.0,36.046296984789
albedo,0.6000000000000001,330,22.630124126263855,0.0,37.19960785752753
albedo,0.6000000000000001,340,21.187621350231414,0.0,36.52032342451457
albedo,0.6000000000000001,350,19.59226265030286,0.0,35.295613622609814
albedo,0.6000000000000001,360,17.78724729769533,0.0,33.49291216507972
albedo,0.7000000000000001,320,29.075048130489723,0.0,46.0805169022265
albedo,0.7000000000000001,330,28.83752331496491,0.0,47.40344458582556
albedo,0.7000000000000001,340,26.880431343326176,0.0,46.33284377201586
albedo,0.7000000000000001,350,24.80074018300314,0.0,44.67872642777585
albedo,0.7000000000000001,360,22.464850407644754,0.0,42.30072049953063
albedo,0.8,320,36.094914506864264,0.0,57.20622791057792
albedo,0.8,330,35.70691214990598,0.0,58.695392375536436
albedo,0.8,340,33.1344510460185,0.0,57.11267517170414
albedo,0.8,350,30.4835577069481,0.0,54.91636641826756
albedo,0.8,360,27.529344916943586,0.0,51.83703555240509
albedo,0.9,320,43.922303544267585,0.0,69.61166295487244
albedo,0.9,330,43.350042580071786,0.0,71.25924941510871
albedo,0.9,340,40.03695241704457,0.0,69.01029753673542
albedo,0.9,350,36.708605664566484,0.0,66.1308387544129
albedo,0.9,360,33.03076843206196,0.0,62.196101432893634
AOD,0.01,320,7.803307388145004,56.88348750683446,-20.902800563034894
AOD,0.01,330,7.717837867515184,56.883488393050385,-23.935492860805283
AOD,0.01,340,7.694872453580971,56.883480399247816,-27.901148043970487
AOD,0.01,350,7.6642878842857645,56.883510960175684,-31.785302412678842
AOD,0.01,360,7.654853739137119,56.8834733050469,-35.81283517817958
AOD,0.11,320,4.948910157731515,39.774896316283126,-15.420178051726614
AOD,0.11,330,4.979289161674849,39.77491629548098,-17.422496323044466
AOD,0.11,340,5.037055661532991,39.77491682337626,-20.10149935568427
AOD,0.11,350,5.037951952927003,39.77493297105379,-22.803982689914246
