variable,value,WL,Glob_dif,Dir_dif,Difu_dif,DGR_dif
O3,200.0,310,20.042370000000005,7.570419999999999,12.471939999999996,0.006357542572047126
O3,200.0,320,19.7586,10.443100000000001,9.315400000000011,0.00970998068849871
O3,200.0,330,-13.860500000000002,2.3150999999999726,-16.1755,0.011929378731470264
O3,200.0,340,-14.976400000000012,1.350999999999999,-16.32740000000001,0.011867707100392422
O3,200.0,350,-18.809699999999907,0.07009999999996808,-18.87990000000002,0.012494448021544868
O3,200.0,360,-20.401599999999917,0.0,-20.401700000000005,0.012820359194154973
O3,300.0,310,-2.504009999999994,0.0,-2.504020000000004,0.012853608741341227
O3,300.0,320,-10.163400000000024,0.0,-10.163399999999996,0.012730014450608562
O3,300.0,330,-20.27780000000007,0.0,-20.27789999999999,0.012357001800238465
O3,300.0,340,-18.434200000000033,0.0,-18.434199999999976,0.012089141024714756
O3,300.0,350,-18.979999999999905,0.0,-18.980000000000018,0.012505993593811271
O3,300.0,360,-20.401599999999917,0.0,-20.401700000000005,0.012820359194154973
O3,400.0,310,-19.291759999999996,-5.789059999999999,-13.502700000000004,0.018433329270668874
O3,400.0,320,-37.095500000000015,-9.555899999999994,-27.539600000000007,0.015441691619705877
O3,400.0,330,-26.6164,-2.2946000000000026,-24.321799999999996,0.012775445913270622
O3,400.0,340,-21.868600000000015,-1.3444999999999823,-20.524099999999976,0.012307306867460899
O3,400.0,350,-19.150199999999927,-0.06999999999999318,-19.080100000000016,0.012517625365863871
O3,400.0,360,-20.401599999999917,0.0,-20.401700000000005,0.012820359194154973
O3,500.0,310,-31.859689999999993,-10.21592,-21.643780000000003,0.023378458650523737
O3,500.0,320,-61.40720000000002,-18.30005,-43.1071,0.017920062060113262
O3,500.0,330,-32.87800000000004,-4.5689000000000135,-28.3091,0.013185052109797368
O3,500.0,340,-25.279800000000023,-2.682399999999973,-22.597499999999968,0.012522421705158271
O3,500.0,350,-19.320299999999975,-0.1401000000000181,-19.180200000000013,0.012529047051578313
O3,500.0,360,-20.401599999999917,0.0,-20.401700000000005,0.012820359194154973
albedo,0.0,310,-3.7721499999999963,0.0,-3.7721600000000066,0.01973126700285399
albedo,0.0,320,-15.74630000000002,0.0,-15.74629999999999,0.020103730954964205
albedo,0.0,330,-32.28870000000006,0.0,-32.28869999999995,0.020050984491953416
albedo,0.0,340,-29.749900000000025,0.0,-29.75,0.019861023149362
albedo,0.0,350,-30.248399999999947,0.0,-30.248400000000004,0.020269041126114162
albedo,0.0,360,-31.995699999999943,0.0,-31.9957,0.02042340799497372
albedo,0.1,310,-1.186719999999994,0.0,-1.186720000000001,0.005975899657893413
albedo,0.1,320,-4.360600000000034,0.0,-4.360600000000005,0.00535631160754052
albedo,0.1,330,-7.800700000000006,0.0,-7.800699999999949,0.004663108808506622
albedo,0.1,340,-6.703700000000026,0.0,-6.703699999999969,0.004317178924733156
albedo,0.1,350,-7.322499999999991,0.0,-7.322499999999991,0.004742938074915604
albedo,0.1,360,-8.435699999999997,0.0,-8.435699999999997,0.005217329782282565
albedo,0.2,310,1.6071600000000075,0.0,1.6071499999999972,-0.007779479560910352
albedo,0.2,320,7.958899999999971,0.0,7.9589,-0.009391168568310904
albedo,0.2,330,18.6656999999999,0.0,18.665700000000015,-0.010724767415884684
albedo,0.2,340,18.09579999999994,0.0,18.095799999999997,-0.01122662075990788
albedo,0.2,350,17.2432,0.0,17.2432,-0.01078313751194232
albedo,0.2,360,16.685699999999997,0.0,16.685599999999965,-0.00998884228560809
albedo,0.30000000000000004,310,4.635750000000002,0.0,4.6357499999999945,-0.021534834359266952
albedo,0.30000000000000004,320,21.33190000000002,0.0,21.33190000000002,-0.024138613365333628
albedo,0.30000000000000004,330,47.36039999999991,0.0,47.36030000000005,-0.026112671561114464
albedo,0.30000000000000004,340,44.85680000000002,0.0,44.85680000000002,-0.026770492065997575
albedo,0.30000000000000004,350,43.63130000000001,0.0,43.63119999999998,-0.026309266208417337
albedo,0.30000000000000004,360,43.52870000000007,0.0,43.52859999999998,-0.0251949228019821
albedo,0.4,310,7.929940000000002,0.0,7.929939999999995,-0.03529023151628774
albedo,0.4,320,35.89960000000002,0.0,35.89959999999999,-0.03888605096301467
albedo,0.4,330,78.577,0.0,78.57700000000006,-0.041500518683275145
albedo,0.4,340,73.82150000000001,0.0,73.82150000000001,-0.04231438474422067
albedo,0.4,350,72.05220000000008,0.0,72.0521,-0.04183534114257986
albedo,0.4,360,72.2767,0.0,72.2767,-0.040400986181749476
albedo,0.5,310,11.526250000000005,0.0,11.526249999999997,-0.04904559426040078
albedo,0.5,320,51.82959999999997,0.0,51.8296,-0.05363349775453069
albedo,0.5,330,112.6635,0.0,112.66350000000006,-0.05688841852524246
albedo,0.5,340,105.27359999999999,0.0,105.27360000000004,-0.05785820757149218
albedo,0.5,350,102.75030000000004,0.0,102.75029999999998,-0.05736140888375446
albedo,0.5,360,103.14010000000007,0.0,103.13999999999999,-0.055607102607152514
albedo,0.6000000000000001,310,15.46826,0.0,15.468259999999994,-0.06280098918139304
albedo,0.6000000000000001,320,69.32229999999998,0.0,69.32239999999999,-0.06838090007439884
albedo,0.6000000000000001,330,150.03459999999995,0.0,150.03450000000004,-0.07227631781434996
albedo,0.6000000000000001,340,139.54819999999995,0.0,139.54810000000003,-0.07340209471517029
albedo,0.6000000000000001,350,136.01080000000002,0.0,136.01079999999996,-0.07288750970843372
albedo,0.6000000000000001,360,136.36120000000005,0.0,136.36110000000002,-0.0708132240569262
albedo,0.7000000000000001,310,19.80832000000001,0.0,19.808319999999995,-0.0765563769701691
albedo,0.7000000000000001,320,88.61969999999997,0.0,88.6197,-0.08312839831134722
albedo,0.7000000000000001,330,191.1887999999999,0.0,191.18890000000005,-0.08766411275842845
albedo,0.7000000000000001,340,177.04279999999994,0.0,177.0428,-0.08894593385571298
albedo,0.7000000000000001,350,172.16840000000002,0.0,172.16839999999996,-0.08841360159423078
albedo,0.7000000000000001,360,172.22080000000005,0.0,172.22070000000002,-0.08601931340310703
albedo,0.8,310,24.609930000000006,0.0,24.60992999999999,-0.09031176768728982
albedo,0.8,320,110.01600000000002,0.0,110.01610000000002,-0.09787581388849159
albedo,0.8,330,236.7319,0.0,236.73190000000005,-0.10305203610270702
albedo,0.8,340,218.2337,0.0,218.23370000000006,-0.10448978608718945
albedo,0.8,350,211.61890000000005,0.0,211.6189,-0.10393970095530591
albedo,0.8,360,211.04640000000006,0.0,211.04630000000003,-0.10122543351191382
albedo,0.9,310,29.950860000000006,0.0,29.950850000000003,-0.10406718298701537
albedo,0.9,320,133.8736,0.0,133.87359999999998,-0.11262330649724245
albedo,0.9,330,287.4047999999999,0.0,287.4048000000001,-0.11843987839201142
albedo,0.9,340,263.6957,0.0,263.6958,-0.12003361155036923
albedo,0.9,350,254.83360000000005,0.0,254.8336,-0.1194658109651709
albedo,0.9,360,253.22160000000008,0.0,253.22160000000002,-0.11643149519881996
AOD,0.01,310,5.6008700000000005,13.994639999999997,-8.393770000000004,0.1582243140308623
AOD,0.01,320,23.7842,63.9834,-40.19919999999999,0.16801394482876852
AOD,0.01,330,51.168199999999956,147.7056,-96.53729999999996,0.17876414370158966
AOD,0.01,340,50.68079999999998,157.29420000000005,-106.61329999999998,0.19175823247689444
AOD,0.01,350,53.20600000000002,175.68989999999997,-122.4839,0.20339238203898052
