variable,value,Glob_dif,Dir_dif,Difu_dif
O3,200.0,4.909311140250637,3.4785899271006118,6.453241729047907
O3,300.0,0.0,0.0,0.0
O3,400.0,3.7199283506565144,2.6994150622681863,4.855706283466413
O3,500.0,6.7249321073586135,4.916938403920279,8.757753801513628
H2O,5.0,3.1154947698513618e-06,5.836035361205166e-07,1.327757753765039e-05
H2O,15.0,3.821943925067158e-06,4.1266991854361296e-07,6.68413566451426e-06
H2O,25.0,2.6074164613835544e-05,4.1470780470254084e-07,5.418857516512126e-05
H2O,35.0,7.897971312470262e-05,5.807215956618105e-06,0.00017052136177510174
albedo,0.0,7.620669799361507,0.0,17.761779592257977
albedo,0.2,0.0,0.0,0.0
albedo,0.4,7.6417412275638545,0.0,14.975918951589058
albedo,0.6000000000000001,15.310265950123338,0.0,27.778743936967583
albedo,0.8,23.013583513962182,0.0,38.85768203949902
albedo,1.0,30.76328253061894,0.0,48.55076300326342
AOD,0.01,0.0,0.0,0.0
AOD,0.11,0.0,0.0,0.0
AOD,0.21000000000000002,0.0,0.0,0.0
AOD,0.31000000000000005,0.0,0.0,0.0
AOD,0.41000000000000003,0.0,0.0,0.0
AOD,0.51,0.0,0.0,0.0
AOD,0.6100000000000001,0.0,0.0,0.0
AOD,0.7100000000000001,0.0,0.0,0.0
AOD,0.81,0.0,0.0,0.0
AOD,0.91,0.0,0.0,0.0
AOD,1.01,0.0,0.0,0.0
AOD,1.11,0.0,0.0,0.0
AOD,1.2100000000000002,0.0,0.0,0.0
AOD,1.31,0.0,0.0,0.0
AOD,1.4100000000000001,0.0,0.0,0.0
AOD,1.51,0.0,0.0,0.0
angstrom,0.0,0.015604328311963634,0.09879492392228378,0.08012529112167013
angstrom,0.2,0.010341225940531598,0.06543928957737712,0.05302291119562809
angstrom,0.4,0.003822564651513372,0.024176039314593657,0.019562550323650705
angstrom,0.6000000000000001,0.004254803427917238,0.02688339498889222,0.021732686082299665
angstrom,0.8,0.014265869073545503,0.09007706290296474,0.07268686179625818
angstrom,1.0,0.026672806083790364,0.16830088066013993,0.13554066840218734
SSA,0.6,0.11224394096183024,0.0,0.23933573638757966
SSA,0.65,0.09620741810355073,0.0,0.20510801296078168
SSA,0.7000000000000001,0.0801722323658755,0.0,0.1708869192692929
SSA,0.7500000000000001,0.06413820526928551,0.0,0.1366834113845873
SSA,0.8000000000000002,0.04810127776893299,0.0,0.10249271272506078
SSA,0.8500000000000002,0.03206787853763497,0.0,0.06831500065838275
SSA,0.9000000000000002,0.01603279239747129,0.0,0.03415020630858295
SSA,0.9500000000000003,0.0,0.0,0.0
SSA,1.0000000000000004,0.016032901624162876,0.0,0.03413606884373854
DOY,0.0,2.765775863958582,2.7657786686789545,2.7657734636287814
DOY,100.0,2.3863391857767478,2.386339574233984,2.386340199824857
DOY,200.0,0.4954052484794725,0.49540158318797967,0.4954069321705222
DOY,300.0,3.998122491920232,3.9981219623109148,3.9981217895476577
